,Fecha Alta,Tipo,Operación,Provincia,Fecha Venta,Vendedor,Indice,Superficie,Precio Venta
0,01/01/2004 00:00,Parking,Alquiler,Lleida,19/06/2004 00:00,Carmen,0.0,291.0,2133903.0
1,01/01/2004 00:00,Local,Venta,Girona,19/04/2004 00:00,Pedro,1.0,185.0,1945424.0
2,01/01/2004 00:00,Oficina,Alquiler,Girona,08/11/2004 00:00,Joaquín,2.0,82.0,1121906.0
3,02/01/2004 00:00,Parking,Alquiler,Girona,27/04/2004 00:00,Jesús,3.0,285.0,1121906.0
4,02/01/2004 00:00,Suelo,Venta,Tarragona,10/07/2004 00:00,María,4.0,152.0,185000.0
5,03/01/2004 00:00,Industrial,Alquiler,Girona,05/09/2004 00:00,Pedro,5.0,131.0,953156.0
6,03/01/2004 00:00,Industrial,Alquiler,Tarragona,07/06/2004 00:00,Pedro,6.0,170.2,406686.0
7,03/01/2004 00:00,Oficina,Venta,Girona,31/10/2004 00:00,Jesús,7.0,235.0,2158475.0
8,04/01/2004 00:00,Piso,Alquiler,Lleida,28/12/2004 00:00,Jesús,8.0,108.0,1024380.0
9,04/01/2004 00:00,Parking,Venta,Lleida,06/10/2004 00:00,Joaquín,9.0,299.0,2042768.0
10,04/01/2004 00:00,Oficina,Alquiler,Girona,28/10/2004 00:00,Pedro,10.0,124.0,627068.0
11,04/01/2004 00:00,Industrial,Venta,Girona,05/04/2004 00:00,Carmen,11.0,187.0,999328.0
12,04/01/2004 00:00,Parking,Venta,Barcelona,04/11/2004 00:00,Jesús,12.0,170.2,2937300.0
13,04/01/2004 00:00,Local,Venta,Tarragona,01/10/2004 00:00,Carmen,13.0,68.0,664700.0
14,04/01/2004 00:00,Industrial,Alquiler,Girona,29/11/2004 00:00,Pedro,14.0,176.0,820336.0
15,05/01/2004 00:00,Casa,Alquiler,Girona,21/11/2004 00:00,Carmen,15.0,179.0,937960.0
16,05/01/2004 00:00,Casa,Alquiler,Tarragona,08/10/2004 00:00,Luisa,16.0,58.0,358846.0
17,06/01/2004 00:00,Suelo,Venta,Barcelona,06/06/2004 00:00,Carmen,17.0,283.0,1679605.0
18,07/01/2004 00:00,Piso,Alquiler,Girona,09/04/2004 00:00,Luisa,18.0,55.0,472615.0
19,08/01/2004 00:00,Oficina,Alquiler,Barcelona,19/08/2004 00:00,María,19.0,148.0,1169496.0
20,09/01/2004 00:00,Industrial,Venta,Barcelona,12/06/2004 00:00,Carmen,20.0,228.0,2020992.0
21,09/01/2004 00:00,Oficina,Alquiler,Lleida,14/04/2004 00:00,Pedro,21.0,116.0,727552.0
22,10/01/2004 00:00,Casa,Alquiler,Girona,21/04/2004 00:00,Luisa,22.0,183.0,1438929.0
23,10/01/2004 00:00,Oficina,Alquiler,Tarragona,01/12/2004 00:00,Joaquín,23.0,79.0,1121906.0
24,10/01/2004 00:00,Oficina,Alquiler,Barcelona,23/05/2004 00:00,Jesús,24.0,124.0,1170684.0
25,10/01/2004 00:00,Local,Alquiler,Tarragona,22/06/2004 00:00,Jesús,25.0,70.0,549780.0
26,11/01/2004 00:00,Local,Alquiler,Tarragona,23/12/2004 00:00,Pedro,26.0,70.0,659330.0
